" 149180020","CHAŁUPKI","Odra (1)","00010"
" 149180300","OLZA","Odra (1)","00015"
" 149180010","KRZYŻANOWICE","Odra (1)","00020"
" 150189994","RACIBÓRZ","Odra (1)","00025"
" 150180060","RACIBÓRZ-MIEDONIA","Odra (1)","00030"
" 150180030","KOŹLE","Odra (1)","00031"
" 150170240","KRAPKOWICE","Odra (1)","00032"
" 150170290","OPOLE-GROSZOWICE","Odra (1)","000324"
" 150170230","OPOLE","Odra (1)","00033"
" 150170130","UJŚCIE NYSY KŁODZKIEJ","Odra (1)","00034"
" 150170090","BRZEG","Odra (1)","00035"
" 150170040","OŁAWA","Odra (1)","00036"
" 151170030","TRESTNO","Odra (1)","00037"
" 151160170","BRZEG DOLNY","Odra (1)","00038"
" 151160150","MALCZYCE","Odra (1)","00040"
" 151160130","ŚCINAWA","Odra (1)","00050"
" 151160060","GŁOGÓW","Odra (1)","00051"
" 151150150","NOWA SÓL","Odra (1)","00060"
" 152150130","CIGACICE","Odra (1)","00070"
" 152150050","NIETKÓW","Odra (1)","00071"
" 152140130","POŁĘCKO","Odra (1)","00080"
" 152140090","BIAŁA GÓRA","Odra (1)","00085"
" 152140050","SŁUBICE","Odra (1)","00090"
" 152140060","KOSTRZYN NAD ODRĄ","Odra (1)","00095"
" 152140020","GOZDOWICE","Odra (1)","00100"
" 152140010","BIELINEK","Odra (1)","00101"
" 153140020","WIDUCHOWA","Odra (1)","00110"
" 153140030","GRYFINO","Odra (1)","00111"
" 153140050","SZCZECIN-MOST DŁUGI","Odra (1)","00112"
" 153140190","SZCZECIN-PODJUCHY","Regalica (1975)","00113"
" 150170160","BRANICE","Opawa (112)","00114"
" 150170170","BRANICE","Boczne koryto Opawy (112374)","00115"
" 150179997","OPAWICA","Opawica (1122)","00116"
" 149180130","ISTEBNA","Olza (114)","00120"
" 149180060","CIESZYN","Olza (114)","00130"
" 149180070","CIESZYN","Młynówka (11448)","00131"
" 149180030","ŁAZISKA","Olza (114)","00132"
" 149180050","ZEBRZYDOWICE","Piotrówka (1146)","00140"
" 149189998","ZEBRZYDOWICE","Pielgrzymówka (11468)","00150"
" 149180040","GOŁKOWICE","Szotkówka (1148)","00160"
" 149189999","GODÓW","Lesznica (11488)","00170"
" 150189995","SAMBOROWICE","Psina (1152)","00180"
" 150180040","BOJANÓW","Psina (1152)","00190"
" 150189999","KIETRZ","Troja (11526)","00200"
" 150189996","GRÓDCZANKI","Troja (11526)","00201"
" 150180090","NĘDZA","Sumina (11568)","00210"
" 150180200","GOTARTOWICE","Ruda (1156)","00230"
" 150180280","RYBNIK-GOTARTOWICE","Ruda (1156)","00235"
" 150180130","RYBNIK-STODOŁY","Ruda (1156)","00237"
" 150180110","RUDA KOZIELSKA","Ruda (1156)","00240"
" 150180140","RYBNIK","Nacyna (11564)","00250"
" 150180120","TWORÓG MAŁY","Bierawka (1158)","00260"
" 150180080","GRABÓWKA","Bierawka (1158)","00261"
" 150189993","BIERAWA","Bierawka (1158)","00270"
" 150180250","KŁODNICA","Kłodnica (116)","00280"
" 150180220","GLIWICE","Kłodnica (116)","00290"
" 150180180","GLIWICE-ŁABĘDY","Kłodnica (116)","00295"
" 150180150","PYSKOWICE-DZIERŻNO","Kłodnica (116)","00298"
" 150189992","ŁANY MAŁE","Kłodnica (116)","00300"
" 150180070","LENARTOWICE","Kłodnica (116)","00310"
" 150180240","GLIWICE","Bytomka (1164)","00320"
" 150180170","PYSKOWICE","Drama (1166)","00322"
" 150180160","PYSKOWICE-DZIERŻNO","Drama (1166)","00324"
" 150180010","KAMIONKA","Stradunia (1174)","00330"
" 150170180","RACŁAWICE ŚLĄSKIE","Osobłoga (1176)","00340"
" 150179995","KOMORNIKI","Osobłoga (1176)","00350"
" 150170110","PRUDNIK","Prudnik (11764)","00360"
