"249180120","SKOCZÓW","2023","05",98.1,"",0,"",33.2,"","16","",0,""
"249180190","BRENNA-LEŚNICA","2023","01",114.5,"",9,"",20.3,"","20","",0,""
"249180190","BRENNA-LEŚNICA","2023","02",97.3,"",8,"",32.7,"","03","",0,""
"249180190","BRENNA-LEŚNICA","2023","03",66.1,"",6,"",13.7,"","27","",0,""
"249180190","BRENNA-LEŚNICA","2023","04",79.7,"",4,"",19.2,"","29","",0,""
"249180190","BRENNA-LEŚNICA","2023","05",108.4,"",0,"",28.9,"","23","",0,""
"249180190","BRENNA-LEŚNICA","2023","06",74.0,"",0,"",31.8,"","21","",0,""
"249180190","BRENNA-LEŚNICA","2023","07",154.5,"",0,"",43.6,"","13","",0,""
"249180190","BRENNA-LEŚNICA","2023","08",212.4,"",0,"",86.2,"","26","",0,""
"249180190","BRENNA-LEŚNICA","2023","09",100.1,"",0,"",35.0,"","18","",0,""
"249180190","BRENNA-LEŚNICA","2023","10",132.1,"",0,"",22.9,"","27","",0,""
"249180210","SZCZYRK","2023","01",130.0,"",14,"",18.0,"","10","",0,""
"249180210","SZCZYRK","2023","02",167.4,"",9,"",46.5,"","03","",0,""
"249180210","SZCZYRK","2023","03",71.4,"",9,"",12.0,"","09","",0,""
"249180210","SZCZYRK","2023","04",84.8,"",5,"",14.4,"","24","",0,""
"249180210","SZCZYRK","2023","05",86.4,"",0,"",19.5,"","16","",0,""
"249180210","SZCZYRK","2023","06",78.3,"",0,"",22.0,"","21","",0,""
"249180210","SZCZYRK","2023","07",186.3,"",0,"",39.5,"","05","",0,""
"249180210","SZCZYRK","2023","08",235.3,"",0,"",101.0,"","26","",0,""
"249180210","SZCZYRK","2023","09",92.9,"",0,"",18.5,"","18","",0,""
"249180210","SZCZYRK","2023","10",136.8,"",0,"",24.0,"","27","",0,""
"249180240","WISŁA-MALINKA","2023","01",116.5,"",11,"",14.5,"","20","",0,""
"249180240","WISŁA-MALINKA","2023","02",143.9,"",11,"",39.1,"","03","",0,""
